"ID"	"ORF"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"5007_at"	5007	-0.0432659658999981	8.59547864245	-0.991764290137907	0.332353290532799	0.714959699461342	-6.00420552544952
"171482_at"	171482	0.0615497965999992	3.9105495414	0.991684731728126	0.332391224580581	0.714959699461342	-6.00428264117767
"4660_at"	4660	0.0598857709999994	5.3937984215	0.991637034331461	0.332413968493965	0.714959699461342	-6.00432887142081
"7494_at"	7494	0.0702186979999926	12.205462009	0.99159970061429	0.332431771366134	0.714959699461342	-6.00436505535484
"130560_at"	130560	0.0937914074000012	6.3609614957	0.99124730547039	0.332599846215119	0.715167997878174	-6.00470653652193
"152579_at"	152579	-0.0945214629000004	6.33524751625	-0.99123487540333	0.33260577580806	0.715167997878174	-6.00471857960151
"3992_at"	3992	0.113042289800001	9.2275832681	0.991062691346009	0.332687921371482	0.715261669292114	-6.00488538887735
"393046_at"	393046	0.0626602439999981	7.2996576289	0.99085378469562	0.332787605385731	0.715320963458777	-6.00508773901199
"2053_at"	2053	-0.147139363000002	6.0901622806	-0.99084317191723	0.332792670037863	0.715320963458777	-6.00509801767259
"55065_at"	55065	-0.0474849137000017	6.09796603105	-0.99068818726818	0.332866638206654	0.715397009704748	-6.0052481115814
"126326_at"	126326	0.0527207449999985	6.5584567651	0.990597256464594	0.332910041247651	0.71540735535994	-6.00533616299489
"645121_at"	645121	0.0462970031999994	4.8879214243	0.990442104147076	0.332984107500623	0.715415366952017	-6.00548638530924
"915_at"	915	0.0524051770999998	4.78115293165	0.990427774167462	0.332990948887694	0.715415366952017	-6.00550025886932
"84922_at"	84922	0.0462734997999972	6.8959579814	0.990255626103109	0.333073143030762	0.715509038081957	-6.00566690961378
"23157_at"	23157	0.0528417150999978	5.23781746305	0.990032535597671	0.333179681113431	0.715654977194056	-6.00588283677481
"125488_at"	125488	-0.106369831900001	6.98692358405	-0.989744932625762	0.333317062230818	0.715777266414439	-6.006161139556
"6540_at"	6540	0.0514367426999982	5.59750694365	0.989741129359428	0.33331887922319	0.715777266414439	-6.00616481934311
"127069_at"	127069	0.0493129961999998	3.92108962	0.989653937989526	0.333360536362246	0.715777266414439	-6.00624917637177
"3744_at"	3744	0.0529167943999997	4.3611917382	0.989590073336748	0.333391051053923	0.715777266414439	-6.00631096067341
"55811_at"	55811	-0.0687316796000008	4.1612303396	-0.989472295311952	0.333447330752873	0.715815199725279	-6.00642489262887
"79744_at"	79744	-0.0995474427000005	8.01687182265	-0.98929855424974	0.333530364122966	0.71588532053961	-6.00659293758728
"197_at"	197	0.0414111529999985	4.6003339244	0.989242355776615	0.333557225245221	0.71588532053961	-6.00664728783946
"643904_at"	643904	0.277720474399996	6.025886841	0.988522123982872	0.333901605978173	0.716278690940043	-6.00734358410822
"124626_at"	124626	-0.0566871266000009	3.8420732552	-0.98839789227288	0.333961032525296	0.716278690940043	-6.00746364050137
"29844_at"	29844	-0.0677695664999982	7.95724123635	-0.988393020999016	0.333963362860085	0.716278690940043	-6.00746834777601
"255809_at"	255809	0.0572989448000003	6.6202464399	0.988231079647364	0.334040839248909	0.716278690940043	-6.00762482508324
"114904_at"	114904	-0.0858283230000003	7.3000021269	-0.988226161861092	0.334043192222787	0.716278690940043	-6.00762957657363
"9389_at"	9389	-0.0851447151000002	5.26257936935	-0.988224295014855	0.334044085440777	0.716278690940043	-6.00763138028646
"3842_at"	3842	-0.063988024600004	9.2398806067	-0.988201125649687	0.334055171276161	0.716278690940043	-6.00765376584675
"283991_at"	283991	0.0628607517000006	9.64356197845	0.988156834633733	0.3340763638851	0.716278690940043	-6.0076965571952
"64232_at"	64232	0.0624008305999988	3.95218059	0.988065665016036	0.334119990148017	0.716278690940043	-6.00778463436373
"388336_at"	388336	0.0595918450000017	5.7272658103	0.988051279735508	0.3341268741167	0.716278690940043	-6.00779853102312
"84940_at"	84940	0.0956293567000008	6.54380532955	0.98793746805086	0.334181341302363	0.716312624165164	-6.00790847039745
"90019_at"	90019	-0.0482044559000023	5.68913781325	-0.987806138790234	0.33424419954407	0.716317066854673	-6.00803531699405
"4763_at"	4763	0.0383738801999973	5.8394478894	0.987745579074769	0.334273188045206	0.716317066854673	-6.00809380444791
"4212_at"	4212	-0.0596919714000004	5.8240855691	-0.987613538650577	0.334336398686967	0.716317066854673	-6.00822131532201
"9047_at"	9047	0.0530510684999994	4.82221600195	0.987580476891681	0.334352227366637	0.716317066854673	-6.00825324049016
"5447_at"	5447	-0.101028662899999	9.71308094235	-0.987461375438234	0.334409252782865	0.716317066854673	-6.00836823942454
"4855_at"	4855	0.0479493785000003	5.58623908315	0.987448862612723	0.3344152442757	0.716317066854673	-6.00838032050491
"221074_at"	221074	-0.0340196842000009	3.6042212317	-0.987362209321957	0.334456738342586	0.716323183009843	-6.00846398006476
"80863_at"	80863	-0.1040427691	5.21010074215	-0.987226881703269	0.334521547298998	0.716324070251739	-6.00859461895194
"136242_at"	136242	0.0596832252000006	4.6233387571	0.987199983206362	0.334534430133209	0.716324070251739	-6.00862058354574
"1033_at"	1033	-0.183291828000003	6.6137074295	-0.987054977371879	0.334603885494397	0.716339293785748	-6.00876054374181
"390429_at"	390429	0.0903805059999989	7.8525989179	0.987023802714077	0.334618818932228	0.716339293785748	-6.00879063119616
"5005_at"	5005	0.0611886195999984	5.2135286072	0.986706399873026	0.334770888987722	0.716538922571175	-6.00909691545283
"5159_at"	5159	0.0453646915999988	6.0442493892	0.986667830916112	0.334789370910595	0.716538922571175	-6.00913412722698
"2161_at"	2161	-0.0657422764000053	8.3967305852	-0.986552827168023	0.334844483928897	0.716542684860817	-6.00924507629978
"388962_at"	388962	0.0728879099999986	11.28797149	0.98629069396207	0.334970128904666	0.716542684860817	-6.00949792345479
"23371_at"	23371	-0.0896016518000033	6.2378306693	-0.9862655956507	0.33498216066535	0.716542684860817	-6.00952212944806
"339487_at"	339487	-0.0656607457999989	8.954094889	-0.986232734460383	0.334997914286633	0.716542684860817	-6.00955382147865
"9221_at"	9221	-0.0869687889000001	9.13467677565	-0.986180921890582	0.335022754218408	0.716542684860817	-6.00960378866765
"56676_at"	56676	0.086092357300001	6.11381201335	0.986077601489443	0.335072291778339	0.716542684860817	-6.0097034220187
